2026-04-26 00:05:18,483 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 00:09:32,326 | INFO | dvs.camera | Camera released.
2026-04-26 00:15:11,480 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 00:16:56,794 | INFO | dvs.camera | Camera released.
2026-04-26 00:34:12,234 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 00:35:51,029 | INFO | dvs.camera | Camera released.
2026-04-26 00:40:15,003 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 00:43:02,093 | INFO | dvs.app | Simulated temperature increased to 39.0 C
2026-04-26 00:43:02,934 | INFO | dvs.app | Simulated temperature increased to 40.0 C
2026-04-26 00:43:03,540 | INFO | dvs.app | Simulated temperature increased to 41.0 C
2026-04-26 00:43:03,958 | INFO | dvs.app | Simulated temperature increased to 42.0 C
2026-04-26 00:43:04,473 | INFO | dvs.app | Simulated temperature increased to 43.0 C
2026-04-26 00:43:13,179 | INFO | dvs.app | Simulated temperature increased to 44.0 C
2026-04-26 00:43:13,704 | INFO | dvs.app | Simulated temperature increased to 45.0 C
2026-04-26 00:43:13,719 | INFO | dvs.app | Simulated temperature increased to 46.0 C
2026-04-26 00:43:13,768 | INFO | dvs.app | Simulated temperature increased to 47.0 C
2026-04-26 00:43:13,829 | INFO | dvs.app | Simulated temperature increased to 48.0 C
2026-04-26 00:43:13,841 | INFO | dvs.app | Simulated temperature increased to 49.0 C
2026-04-26 00:43:13,896 | INFO | dvs.app | Simulated temperature increased to 50.0 C
2026-04-26 00:43:13,979 | INFO | dvs.app | Simulated temperature increased to 51.0 C
2026-04-26 00:43:13,989 | INFO | dvs.app | Simulated temperature increased to 52.0 C
2026-04-26 00:43:14,037 | INFO | dvs.app | Simulated temperature increased to 53.0 C
2026-04-26 00:43:14,048 | INFO | dvs.app | Simulated temperature increased to 54.0 C
2026-04-26 00:43:14,104 | INFO | dvs.app | Simulated temperature increased to 55.0 C
2026-04-26 00:43:14,165 | INFO | dvs.app | Simulated temperature increased to 56.0 C
2026-04-26 00:43:14,229 | INFO | dvs.app | Simulated temperature increased to 57.0 C
2026-04-26 00:43:14,311 | INFO | dvs.app | Simulated temperature increased to 58.0 C
2026-04-26 00:43:18,776 | INFO | dvs.app | Simulated temperature decreased to 57.0 C
2026-04-26 00:43:19,263 | INFO | dvs.app | Simulated temperature decreased to 56.0 C
2026-04-26 00:43:19,318 | INFO | dvs.app | Simulated temperature decreased to 55.0 C
2026-04-26 00:43:19,332 | INFO | dvs.app | Simulated temperature decreased to 54.0 C
2026-04-26 00:43:19,382 | INFO | dvs.app | Simulated temperature decreased to 53.0 C
2026-04-26 00:43:19,447 | INFO | dvs.app | Simulated temperature decreased to 52.0 C
2026-04-26 00:43:19,511 | INFO | dvs.app | Simulated temperature decreased to 51.0 C
2026-04-26 00:43:19,592 | INFO | dvs.app | Simulated temperature decreased to 50.0 C
2026-04-26 00:43:19,653 | INFO | dvs.app | Simulated temperature decreased to 49.0 C
2026-04-26 00:43:19,718 | INFO | dvs.app | Simulated temperature decreased to 48.0 C
2026-04-26 00:43:19,745 | INFO | dvs.app | Simulated temperature decreased to 47.0 C
2026-04-26 00:43:19,779 | INFO | dvs.app | Simulated temperature decreased to 46.0 C
2026-04-26 00:43:19,849 | INFO | dvs.app | Simulated temperature decreased to 45.0 C
2026-04-26 00:43:19,911 | INFO | dvs.app | Simulated temperature decreased to 44.0 C
2026-04-26 00:43:19,925 | INFO | dvs.app | Simulated temperature decreased to 43.0 C
2026-04-26 00:43:19,992 | INFO | dvs.app | Simulated temperature decreased to 42.0 C
2026-04-26 00:43:20,054 | INFO | dvs.app | Simulated temperature decreased to 41.0 C
2026-04-26 00:43:20,118 | INFO | dvs.app | Simulated temperature decreased to 40.0 C
2026-04-26 00:43:20,518 | INFO | dvs.app | Simulated temperature decreased to 39.0 C
2026-04-26 00:43:20,814 | INFO | dvs.app | Simulated temperature decreased to 38.0 C
2026-04-26 00:43:20,993 | INFO | dvs.app | Simulated temperature decreased to 37.0 C
2026-04-26 00:43:21,491 | INFO | dvs.app | Simulated temperature decreased to 36.0 C
2026-04-26 00:43:21,527 | INFO | dvs.app | Simulated temperature decreased to 35.0 C
2026-04-26 00:43:21,553 | INFO | dvs.app | Simulated temperature decreased to 34.0 C
2026-04-26 00:43:21,591 | INFO | dvs.app | Simulated temperature decreased to 33.0 C
2026-04-26 00:43:21,615 | INFO | dvs.app | Simulated temperature decreased to 32.0 C
2026-04-26 00:43:21,652 | INFO | dvs.app | Simulated temperature decreased to 31.0 C
2026-04-26 00:43:21,679 | INFO | dvs.app | Simulated temperature decreased to 30.0 C
2026-04-26 00:43:21,715 | INFO | dvs.app | Simulated temperature decreased to 29.0 C
2026-04-26 00:43:21,782 | INFO | dvs.app | Simulated temperature decreased to 28.0 C
2026-04-26 00:43:21,793 | INFO | dvs.app | Simulated temperature decreased to 27.0 C
2026-04-26 00:43:21,859 | INFO | dvs.app | Simulated temperature decreased to 26.0 C
2026-04-26 00:43:21,883 | INFO | dvs.app | Simulated temperature decreased to 25.0 C
2026-04-26 00:43:21,924 | INFO | dvs.app | Simulated temperature decreased to 24.0 C
2026-04-26 00:43:29,671 | INFO | dvs.app | Simulated temperature decreased to 23.0 C
2026-04-26 00:43:30,163 | INFO | dvs.app | Simulated temperature decreased to 22.0 C
2026-04-26 00:43:30,217 | INFO | dvs.app | Simulated temperature decreased to 21.0 C
2026-04-26 00:43:30,280 | INFO | dvs.app | Simulated temperature decreased to 20.0 C
2026-04-26 00:43:30,812 | INFO | dvs.app | Simulated temperature decreased to 19.0 C
2026-04-26 00:43:31,222 | INFO | dvs.app | Simulated temperature increased to 20.0 C
2026-04-26 00:43:32,276 | INFO | dvs.app | Simulated temperature increased to 21.0 C
2026-04-26 00:43:32,553 | INFO | dvs.app | Simulated temperature increased to 22.0 C
2026-04-26 00:45:02,653 | INFO | dvs.camera | Camera released.
2026-04-26 00:45:11,238 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 00:45:19,810 | INFO | dvs.camera | Camera released.
2026-04-26 01:00:44,771 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 01:00:57,483 | INFO | dvs.camera | Camera released.
2026-04-26 01:01:00,546 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 01:01:05,384 | INFO | dvs.camera | Camera released.
2026-04-26 01:07:09,481 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 01:07:16,432 | INFO | dvs.camera | Camera released.
2026-04-26 01:10:45,762 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 01:10:51,940 | INFO | dvs.camera | Camera released.
2026-04-26 01:28:31,623 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 01:29:17,802 | INFO | dvs.camera | Camera released.
2026-04-26 01:32:21,305 | INFO | dvs.camera | Camera opened: index=0
2026-04-26 01:34:31,738 | INFO | dvs.app | Simulated temperature increased to 39.0 C
2026-04-26 01:34:32,254 | INFO | dvs.app | Simulated temperature increased to 40.0 C
2026-04-26 01:34:32,314 | INFO | dvs.app | Simulated temperature increased to 41.0 C
2026-04-26 01:34:32,335 | INFO | dvs.app | Simulated temperature increased to 42.0 C
2026-04-26 01:34:32,379 | INFO | dvs.app | Simulated temperature increased to 43.0 C
2026-04-26 01:34:32,397 | INFO | dvs.app | Simulated temperature increased to 44.0 C
2026-04-26 01:34:32,444 | INFO | dvs.app | Simulated temperature increased to 45.0 C
2026-04-26 01:34:32,457 | INFO | dvs.app | Simulated temperature increased to 46.0 C
2026-04-26 01:34:32,509 | INFO | dvs.app | Simulated temperature increased to 47.0 C
2026-04-26 01:34:32,522 | INFO | dvs.app | Simulated temperature increased to 48.0 C
2026-04-26 01:34:32,572 | INFO | dvs.app | Simulated temperature increased to 49.0 C
2026-04-26 01:34:32,586 | INFO | dvs.app | Simulated temperature increased to 50.0 C
2026-04-26 01:34:32,654 | INFO | dvs.app | Simulated temperature increased to 51.0 C
2026-04-26 01:34:32,668 | INFO | dvs.app | Simulated temperature increased to 52.0 C
2026-04-26 01:34:32,716 | INFO | dvs.app | Simulated temperature increased to 53.0 C
2026-04-26 01:34:32,730 | INFO | dvs.app | Simulated temperature increased to 54.0 C
2026-04-26 01:34:32,780 | INFO | dvs.app | Simulated temperature increased to 55.0 C
2026-04-26 01:34:32,793 | INFO | dvs.app | Simulated temperature increased to 56.0 C
2026-04-26 01:34:32,846 | INFO | dvs.app | Simulated temperature increased to 57.0 C
2026-04-26 01:34:32,913 | INFO | dvs.app | Simulated temperature increased to 58.0 C
2026-04-26 01:34:32,990 | INFO | dvs.app | Simulated temperature increased to 59.0 C
2026-04-26 01:34:33,005 | INFO | dvs.app | Simulated temperature increased to 60.0 C
2026-04-26 01:34:33,051 | INFO | dvs.app | Simulated temperature increased to 61.0 C
2026-04-26 01:34:33,065 | INFO | dvs.app | Simulated temperature increased to 62.0 C
2026-04-26 01:34:33,118 | INFO | dvs.app | Simulated temperature increased to 63.0 C
2026-04-26 01:34:33,148 | INFO | dvs.app | Simulated temperature increased to 64.0 C
